location_name,latitude,longitude
Madhapur,17.4472,78.3858
Domalguda,17.4073,78.4753
Patancheru,17.5331,78.2646
Ameerpet Block 4,17.43025,78.45888
Koti Block 2,17.37555,78.48436
Domalguda Block 3,17.41741,78.48498
Ashok Nagar,17.4099,78.4813
Ramnagar Block 2,17.40791,78.51221
Musheerabad Block 3,17.41817,78.4961
Borabanda Block 3,17.44415,78.42353
Kondapur Block 3,17.464,78.35705
Falaknuma Block 2,17.33105,78.45926
Abids Block 3,17.38668,78.47192
Rasoolpura,17.4402,78.4735
Marredpally Block 2,17.45517,78.51789
Ghatkesar Block 3,17.46093,78.66922
Kondapur,17.4637,78.3716
Charminar,17.3616,78.4747
Musheerabad Block 2,17.41283,78.48935
SR Nagar Block 2,17.43987,78.46175
Begumpet Block 2,17.43326,78.46113
Abids,17.3911,78.4747
Peerzadiguda Block 3,17.43057,78.58807
Rasoolpura Block 3,17.43494,78.46947
Saifabad Block 4,17.40198,78.47298
Patancheru Block 3,17.53028,78.26752
Amberpet Block 3,17.39797,78.54043
Erragadda,17.4582,78.428
Masab Tank,17.3977,78.4553
Miyapur Block 2,17.4992,78.38743
Nallagandla,17.4586,78.3122
Punjagutta,17.4276,78.4489
Madhura Nagar Block 2,17.43188,78.46374
Chanda Nagar Block 3,17.50993,78.32485
Kukatpally Block 2,17.50658,78.39449
Hyderguda,17.3951,78.4743
Golnaka Block 3,17.39845,78.54571
Malkajgiri Block 3,17.45323,78.5126
Ghatkesar,17.4527,78.6835
Kachiguda Block 2,17.40631,78.50215
Somajiguda Block 2,17.41471,78.45383
Begumpet,17.4422,78.4607
ECIL,17.4764,78.5688
Uppal Block 2,17.39723,78.56877
Charminar Block 2,17.36705,78.46858
Himayatnagar Block 2,17.3969,78.49609
Himayatnagar,17.4016,78.4849
Lakdikapool Block 2,17.40757,78.4619
Bowenpally Block 2,17.46866,78.47926
Nallagandla Block 3,17.47157,78.32356
Charminar Block 3,17.34997,78.4609
Narsingi,17.3813,78.361
Narsingi Block 3,17.38443,78.34666
Sanathnagar,17.4556,78.4485
Ameerpet,17.4375,78.4466
Hayathnagar Block 2,17.32602,78.61491
Bagh Lingampally Block 2,17.41357,78.50264
Secunderabad,17.4474,78.4917
RTC X Roads Block 2,17.41717,78.49662
Gachibowli Block 3,17.4518,78.34405
Shamshabad Block 2,17.25436,78.40389
Kukatpally,17.494,78.3997
BHEL Township,17.4947,78.3458
Vidyanagar Block 2,17.40003,78.51841
Peerzadiguda,17.4296,78.5901
Balkampet Block 2,17.43016,78.44249
Chanda Nagar,17.5005,78.3317
Bowenpally,17.4684,78.4865
Nampally,17.3864,78.4738
Ramnagar Block 3,17.39535,78.51928
Secunderabad Block 3,17.43334,78.49868
Erragadda Block 3,17.45469,78.43718
Madhura Nagar Block 4,17.42573,78.43868
Khairatabad,17.4208,78.4608
Toli Chowki Block 2,17.40374,78.40909
Mehdipatnam Block 3,17.3879,78.43937
Hyderguda Block 2,17.40351,78.47991
Erragadda Block 2,17.46541,78.42625
Nagole Block 3,17.35891,78.56605
Narsingi Block 2,17.37496,78.35714
Falaknuma,17.3372,78.4673
Nampally Block 2,17.39096,78.48535
Borabanda Block 4,17.44801,78.41955
Vanastalipuram,17.3113,78.5738
Masab Tank Block 2,17.40749,78.46543
Secunderabad Block 2,17.45789,78.48889
Kothapet,17.3665,78.5446
Bowenpally Block 3,17.45788,78.48488
Borabanda Block 2,17.43651,78.41927
Malkajgiri Block 2,17.45213,78.51986
BHEL Township Block 2,17.4804,78.33589
Malkajgiri,17.4489,78.5268
Dilsukhnagar Block 3,17.36028,78.52477
Bagh Lingampally,17.4037,78.4954
LB Nagar,17.35,78.5245
Amberpet,17.3898,78.5288
Balkampet,17.4425,78.4452
Uppal Block 3,17.41246,78.55915
Somajiguda,17.4274,78.4566
LB Nagar Block 3,17.33758,78.52187
SR Nagar Block 4,17.43038,78.44423
Punjagutta Block 4,17.43472,78.45861
Hyderguda Block 3,17.4015,78.46534
Sanathnagar Block 2,17.4675,78.45579
Nallakunta,17.4105,78.5033
Ghatkesar Block 2,17.45763,78.68454
ECIL Block 3,17.47077,78.56168
Rasoolpura Block 2,17.42918,78.45972
Nallakunta Block 3,17.42184,78.49364
Madhura Nagar,17.429,78.4498
Rasoolpura Block 4,17.43396,78.48279
Lakdikapool,17.4065,78.4604
Kothapet Block 3,17.379,78.55939
Begumpet Block 3,17.43339,78.44715
Falaknuma Block 3,17.32425,78.47667
Nampally Block 3,17.37783,78.48024
RTC X Roads Block 3,17.40822,78.48986
Saifabad Block 2,17.39608,78.45085
Uppal,17.4056,78.5591
Mehdipatnam Block 2,17.40143,78.44111
Koti,17.3892,78.4872
Bagh Lingampally Block 3,17.39651,78.50971
Nagole,17.3714,78.5528
Lakdikapool Block 3,17.40832,78.47176
Dilsukhnagar,17.368,78.5241
Kondapur Block 2,17.4489,78.38221
Hayathnagar,17.3277,78.6202
Ashok Nagar Block 3,17.41423,78.48497
Nagole Block 2,17.36752,78.54536
Khairatabad Block 4,17.41412,78.47314
Golnaka,17.3972,78.5331
Kachiguda,17.3976,78.5017
Musheerabad,17.4103,78.4925
Balkampet Block 4,17.42861,78.4474
ECIL Block 2,17.46892,78.55795
Khairatabad Block 2,17.41011,78.4596
Marredpally,17.4565,78.5085
Kothapet Block 2,17.36211,78.55468
Borabanda,17.4449,78.4316
Nallakunta Block 2,17.4086,78.48983
Koti Block 3,17.39075,78.48373
Domalguda Block 2,17.40912,78.48234
Golnaka Block 2,17.38624,78.52389
Madhapur Block 3,17.4586,78.38768
Vanastalipuram Block 3,17.32364,78.57778
Madhapur Block 2,17.44993,78.39188
Manikonda Block 2,17.41227,78.39693
Kukatpally Block 3,17.47929,78.41155
Saifabad,17.4109,78.462
Dilsukhnagar Block 2,17.35624,78.5253
Gachibowli,17.4448,78.3489
LB Nagar Block 2,17.33648,78.52126
Marredpally Block 3,17.4559,78.49955
Vidyanagar Block 3,17.41822,78.50371
Patancheru Block 2,17.52363,78.25777
HITEC City,17.4445,78.3827
Erragadda Block 4,17.45451,78.42374
Shamshabad,17.2555,78.3958
Ameerpet Block 3,17.42495,78.43865
Miyapur Block 3,17.4884,78.39805
Miyapur,17.4943,78.3915
Ameerpet Block 2,17.44766,78.44966
Somajiguda Block 3,17.41332,78.44584
